District,Season,Year,Crop,AvgAirTemp,MinAirTemp,MaxAirTemp,AvgTempSkew,AvgTempKurt,AvgRelHum,AvgRelHumSkew,AvgRelHumKurt,AvgDewPt,AvgDewPtSkew,AvgDewPtKurt,AvgPrec,AvgPrecSkew,AvgPrecKurt,AvgWind,Yield,MLR_Prediction,DT_Prediction
7,1,2011,1,26.09837398,38.3,20.3,0.538094167,-0.230734857,74.50487805,-0.41741735700000004,-0.612204055,21.19430894,-0.720334958,0.060830445999999996,4.0314702258318516,6.566479421388269,0.060830445999999996,6.360162602000001,0.48,0.4799999999999977,0.4800000000000001
2,1,2002,10,24.86944444,16.4,37.2,1.821890292,3.1905159839999997,77.2,-1.654097695,2.233512158,20.28425926,-1.895442254,4.010480511,5.396296296,3.849747972,17.56836963,3.766666667,0.62,0.62,0.62
7,2,2006,2,23.81900826,13.3,33.4,0.139891445,-0.625167679,58.81157025,0.199228343,-0.5404039,14.7338843,-1.166599067,1.174443016,0.867768595,7.270779738,1.174443016,2.52231405,0.58,0.5799999999999997,0.58
3,2,2001,11,23.27741935,13.6,31.6,-0.653667407,0.34817487799999997,33.76774194,1.4964258869999998,2.617678551,6.151612902999999,0.6950541240000001,1.518029532,4.0314702258318516,6.566479421388269,1.518029532,2.722580645,0.7,0.7000000000000046,0.70003367
11,2,2006,1,26.35759162,11.5,41.9,0.36803911,-0.333823772,47.7052356,0.522441673,-0.791648233,13.22443281,-0.052693752999999996,-1.040600236,2.64904014,8.128598947,81.7589545,2.956893543,0.46,0.45999999999998054,0.4600000000000001
3,1,1998,7,28.33495935,18.3,38.2,0.179071667,-1.0262775,61.909756099999996,-0.248111676,-0.520840943,19.84390244,-1.763680621,3.7968943989999997,4.0314702258318516,6.566479421388269,3.7968943989999997,4.23495935,0.29,0.2900000000000083,0.29
6,1,1999,12,25.01222222,19.2,39.7,1.485647613,1.358368075,74.91111111,-1.259815651,0.550318592,19.91555556,-1.594277208,1.85953609,6.954444444,10.48672863,3.2039497619999997,4.544444444,2.71,2.710000000000008,2.71
7,4,2011,13,26.09837398,38.3,20.3,0.538094167,-0.230734857,74.50487805,-0.41741735700000004,-0.612204055,21.19430894,-0.720334958,0.060830445999999996,4.0314702258318516,6.566479421388269,0.060830445999999996,6.360162602000001,40.85,40.84999999999998,40.85
6,2,2000,14,24.41888889,15.4,33.5,1.123204182,1.192332412,77.65777778,-0.978912232,0.239416698,20.21111111,-1.4681530280000001,3.732966261,6.424444444,12.28696598,3.183543784,3.163333333,0.59,0.5900000000000054,0.59
5,4,1997,15,25.66126374,14.4,37.7,0.347260931,0.17198915399999998,66.48214286,-0.547104348,-0.6831929090000001,18.58736264,-1.294170794,1.307984407,5.085714286,2.195893884,4.533216811,3.428571429,1.48,1.4800000000000033,1.4799999999999998
2,4,2001,16,27.35631868,23.3,31.1,-0.087404173,-0.37681056399999996,73.23846154,-1.131344559,1.15927486,22.12445055,-0.929414257,0.391204538,2.022802198,5.495140335,35.93095586,5.9532967029999995,0.14,0.13999999999999485,0.14000000000000004
8,1,2003,17,27.53290323,8.1,44.0,0.393724905,0.137722548,66.95354839,-0.629618856,-1.183308175,20.00903226,-1.063724557,-0.270642905,3.3870967739999998,3.391409264,-0.270642905,1.850322581,0.05,0.050000000000005436,0.05
13,2,2009,3,29.34715447,18.7,43.3,0.803384186,-0.500556641,63.25365854,-0.537152165,-0.930829619,20.53739837,-1.285970147,1.291102494,4.0314702258318516,6.566479421388269,1.291102494,3.1121951219999997,0.3,0.2999999999999932,0.3
1,2,2010,7,25.44768212,13.1,42.0,-0.011995991000000001,-0.686300118,35.22649007,0.848923832,0.489039636,7.943046357999999,0.13216088,-0.5773184610000001,4.0314702258318516,6.566479421388269,-0.5773184610000001,2.6947019869999997,1.1,1.0999999999999943,1.1
3,1,2011,2,26.6796748,16.7,36.4,0.8854486229999999,1.109106657,75.73414634,-0.76733806,-0.091980744,21.92845528,-1.1645631140000001,1.912524106,7.4,2.350191518,1.912524106,3.4243902439999996,1.93,1.9299999999999902,1.93
2,4,2011,18,27.91126374,25.0,30.2,-0.613540624,-0.030985126,77.28653846,-0.541301606,-0.8064110640000001,23.61840659,-0.694524488,-0.48987139399999996,4.0314702258318516,6.566479421388269,6.815976049672381,5.719505495,1.22,1.2199999999999898,1.23
10,2,2009,3,29.34715447,18.7,43.3,0.803384186,-0.500556641,63.25365854,-0.537152165,-0.930829619,20.53739837,-1.285970147,1.291102494,4.0314702258318516,6.566479421388269,1.291102494,3.1121951219999997,1.03,1.029999999999993,1.03
4,4,2000,19,12.72794521,-7.3,34.9,-0.194471019,-1.190278044,55.85534247,-0.048152165999999996,-0.94320761,3.284657534,0.39705339799999995,-0.889444149,4.0314702258318516,6.566479421388269,-0.889444149,2.633424658,9.34,9.340000000000002,9.34
1,1,2005,20,29.03660131,21.4,40.2,0.38775255,-0.232325057,64.1254902,-0.419367681,-1.170781157,20.65947712,-1.337119937,1.20230288,7.939869281,3.999840663,1.20230288,3.2686274510000004,0.8,0.8000000000000027,0.8
1,4,2006,20,26.7,22.2,31.4,0.3877481572634384,0.08097558508440693,38.3,-0.3399967856956908,-0.07376239569435805,11.3,-0.7516947941328299,0.7939890095850732,1.4,6.566479421388269,6.815976049672381,4.3,1.0,0.9999999999999976,1.0
7,3,2007,21,29.75491803,19.5,43.0,0.299550212,-0.932084591,40.41721311,0.9011101,0.149840364,13.81803279,0.246962395,-0.927238965,0.455737705,4.931201785,-0.927238965,2.9516393439999997,8.45,8.449999999999996,8.45
2,1,2001,10,24.92777778,14.8,32.9,0.208158066,0.007247946,77.075,-0.610555534,0.176430773,20.56851852,-1.86735232,5.2137818010000005,5.774074074,2.581049291,7.379202472,3.6074074069999997,0.65,0.6500000000000035,0.65
11,1,2000,22,25.4826087,16.6,35.0,0.686813103,0.24114951399999998,73.58478261,-0.365366486,-1.1346972359999998,20.26086957,-0.23522155600000005,-0.886378963,7.744565217000001,3.055690564,11.22299383,4.109782609,0.32,0.32000000000000767,0.32
1,1,2004,2,27.93464052,15.7,40.0,0.743458077,0.950262555,68.44052288,-0.919108131,-0.126934293,20.96666667,-1.98698988,3.35498438,5.537908497,4.487041673999999,3.35498438,3.0405228760000003,3.0,2.999999999999998,2.98
3,1,2008,23,26.99512195,14.6,40.8,0.9796177429999999,0.8570249809999999,70.60081301,-0.654625063,-0.351846341,20.73577236,-1.651449815,2.483230716,4.0314702258318516,6.566479421388269,2.483230716,3.479674797,0.7,0.7000000000000016,0.70003367
4,1,2001,9,22.67804878,11.1,34.5,0.21027238399999998,-0.646769278,42.28943089,0.7496362759999999,-0.586832507,7.968292683,0.089716611,-1.0878544940000001,4.0314702258318516,6.566479421388269,-1.0878544940000001,2.371544715,1.45,1.4500000000000086,1.45
7,2,2000,24,25.49504132,12.7,35.6,0.151152688,-0.9217800759999999,41.22892562,1.707084939,3.313715414,10.79008264,0.163517327,-0.5379559629999999,0.792561983,5.322264685,-0.5379559629999999,2.258677686,2.14,2.1400000000000112,2.14
5,4,2003,13,25.07472527,15.5,36.4,0.49755044,0.4302976670000001,70.37554945,-0.6385139879999999,-0.636348667,19.0793956,-0.892071046,-0.118512903,3.9560439560000003,3.8832191660000004,18.65577958,3.4722527469999998,87.06,87.05999999999997,87.06
11,1,2011,9,25.03586957,20.5,35.8,0.8600197470000001,0.89903342,80.50869565,-1.07590961,1.188269778,21.45978261,-0.640254432,0.519071736,4.0314702258318516,6.566479421388269,6.815976049672381,5.9663043479999995,0.53,0.5299999999999948,0.5300000000000001
1,1,2010,2,29.3,15.0,45.7,1.893076445,4.226786553999999,72.30522876,-0.7258764409999999,-0.23603263600000002,23.63921569,-1.383345389,1.454203648,4.0314702258318516,6.566479421388269,1.454203648,4.058169935,1.0,0.9999999999999929,1.0
5,4,1997,25,25.66126374,14.4,37.7,0.347260931,0.17198915399999998,66.48214286,-0.547104348,-0.6831929090000001,18.58736264,-1.294170794,1.307984407,5.085714286,2.195893884,4.533216811,3.428571429,0.47,0.4700000000000063,0.46999999999999986
7,1,2000,26,26.01300813,36.2,13.9,0.636473445,-0.634396562,71.80569106,-0.490514361,-1.094559345,20.24796748,-0.5648642629999999,-0.41318236799999997,5.829268292999999,4.3645677780000005,-0.41318236799999997,4.126829268,0.12,0.12000000000001548,0.12
6,1,2005,27,25.00384615,15.0,37.6,1.187661969,1.02922646,63.55576923,-0.275426884,-1.390685832,16.97335165,-0.77029993,-0.659753383,3.087912088,19.11935028,4.130131422,3.434615385,3.89,3.890000000000009,3.89
13,1,2007,28,29.46097561,16.6,44.4,0.727876871,-0.35263064899999996,62.16178862,-0.34239442200000003,-1.131818954,20.35528455,-1.0854519440000001,0.779194009,4.0314702258318516,6.566479421388269,0.779194009,3.25203252,0.25,0.25000000000000444,0.25
